Close,Volume,Open,High,Low
$165.32,107497000,$164.29,$167.8799,$164.28
$161.84,118023100,$164.02,$164.96,$159.72
$163.76,136739200,$158.735,$164.2,$157.8
$164.77,152423000,$167.48,$170.3,$164.53
$165.3,174048100,$159.985,$165.52,$159.92
$160.24,88748220,$159.37,$161.19,$158.7901
$156.81,76959750,$159.565,$160.45,$156.36
$161.94,69463620,$160.75,$162.14,$159.64
$161.41,96041900,$161.12,$161.8,$159.0601
$161.02,117467900,$161.68,$165.7,$161
$160.55,117305600,$157.65,$161.02,$156.5328
$157.87,137827700,$153.71,$158.67,$153.05
$153.49,88807000,$150.995,$155,$150.99
$151,59256210,$149.94,$151.488,$149.34
$150,59222800,$150.37,$151.88,$149.43
$149.99,63804010,$148.43,$150.4,$147.48
$147.87,40999950,$148.96,$149.43,$147.681
$147.92,65187090,$150.02,$150.13,$147.85
$150.81,56787930,$150.2,$151.428,$150.0601
$150.44,55020870,$151.41,$151.57,$150.16
